	Wolfgang Kindler (I)
, 0	Wolfgang Schmidt (I)
, 0	Wolfgang Schmidt (II)
, 0	Wolfgang Schmidt (IV)
, 0	Wolfgang Schmidt (IX)
, 0	Wolfgang Schmidt (VI)
, 0	Wolfgang Schmidt (VII)
, 0	Wolfgang Schmidt (XI)
, 0	Wolfgang Schmidt-Kessler
, 0	Wolfgang Schmidtholstein
, 0	Wolfgang Schmidtke
, 0	Wolfgang Schmiedeberg
, 0	Wolfgang Schmieder
, 0	Wolfgang Schmittke
, 0	Wolfgang Schmitz (II)
, 0	Wolfgang Schmitz (IV)
, 2	Wolfgang Schneider (I)
, 0	Wolfgang Schneider (II)
, 0	Wolfgang Schneider (IV)
, 0	Wolfgang Schneider (VIII)
, 0	Wolfgang Schneiderhan
, 0	Wolfgang Schoenwald
, 0	Wolfgang Scholz (II)
, 0	Wolfgang Scholz (III)
, 0	Wolfgang Scholz (IV)
, 0	Wolfgang Schoof
, 4532	Wolfgang Schorer
, 0	Wolfgang Schott (I)
, 0	Wolfgang Schott (II)
, 0	Wolfgang Schott (III)
, 0	Wolfgang Schott (IV)
, 0	Wolfgang Schramml (II)
, 4063860	Wolfgang Schreiber
, 0	Wolfgang Schrell
, 0	Wolfgang Schröder (I)
, 3	Wolfgang Schröder (II)
, 0	Wolfgang Schröder (III)
, 0	Wolfgang Schubach
, 0	Wolfgang Schuch
, 0	Wolfgang Schulte
, 0	Wolfgang Schultes
, 0	Wolfgang Schultz
, 0	Wolfgang Schulz
, 0	Wolfgang Schulze (I)
, 259298	Wolfgang Schumacher (I)
, 274385	Wolfgang Schumacher (II)
, 0	Wolfgang Schust
, 0	Wolfgang Schuster (I)
, 0	Wolfgang Schwach
, 0	Wolfgang Schwackenberg
, 0	Wolfgang Schwalm (I)
, 0	Wolfgang Schwalm (II)
, 0	Wolfgang Schwaninger
, 0	Wolfgang Schwanitz
, 0	Wolfgang Schwarz (I)
, 0	Wolfgang Schwarz (IV)
, 0	Wolfgang Schwarzer
, 6318709	Wolfgang Schwingler
, 0	Wolfgang Schäche
, 0	Wolfgang Schäfer
, 2	Wolfgang Schäuble
, 0	Wolfgang Schöne
, 0	Wolfgang Schöner
, 0	Wolfgang Schünke
, 2	Wolfgang Schüssel
, 0	Wolfgang Schütte
, 0	Wolfgang Sebrecht
, 0	Wolfgang See
, 0	Wolfgang Seethaler
, 0	Wolfgang Seher
, 0	Wolfgang Seibt
, 96045248	Wolfgang Seidenberg
, 0	Wolfgang Seifert (II)
, 0	Wolfgang Seiffert
, 0	Wolfgang Sellner
, 0	Wolfgang Sembdner
, 0	Wolfgang Seybert
, 0	Wolfgang Shatriya
, 0	Wolfgang Siebehorn
, 0	Wolfgang Siebert (II)
, 0	Wolfgang Siedentop
, 0	Wolfgang Sieg
, 0	Wolfgang Siegel (II)
, 0	Wolfgang Sieling
, 7649956	Wolfgang Siesz
, 0	Wolfgang Singer
, 0	Wolfgang Sinner
, 0	Wolfgang Sinzinger
, 0	Wolfgang Sippel
, 0	Wolfgang Sittig
, 0	Wolfgang Skacel
, 0	Wolfgang Snyder
, 0	Wolfgang Sokoll
, 0	Wolfgang Sommer (I)
, 0	Wolfgang Sonnefeld
, 0	Wolfgang Sowa
, 0	Wolfgang Spann
, 0	Wolfgang Spannberger
, 0	Wolfgang Sperl
, 4	Wolfgang Spier
, 0	Wolfgang Splinter
, 0	Wolfgang Springer
, 0	Wolfgang Stadtmann
, 0	Wolfgang Starck
, 5381891	Wolfgang Staribacher
, 0	Wolfgang Stark
, 78004	Wolfgang Staudte
, 0	Wolfgang Steffen
, 0	Wolfgang Stefl
, 203044784	Wolfgang Stegemann
, 0	Wolfgang Steiert
, 4063860	Wolfgang Stein (I)
, 5	Wolfgang Stein (IV)
, 0	Wolfgang Steinacher
, 96718	Wolfgang Steinberg
, 0	Wolfgang Steinberger
, 0	Wolfgang Steinebach
, 0	Wolfgang Steinke
, 0	Wolfgang Steinpichler
, 0	Wolfgang Steinweg
, 0	Wolfgang Stelzig
, 2	Wolfgang Stendar
, 0	Wolfgang Stieglitz
, 0	Wolfgang Stinnesbeck
, 0	Wolfgang Stock (II)
, 0	Wolfgang Stoffel
, 0	Wolfgang Storz
, 0	Wolfgang Stranzinger
, 0	Wolfgang Stresemann
, 0	Wolfgang Striebinger
, 0	Wolfgang Strobel
, 0	Wolfgang Strobl
, 0	Wolfgang Strohmeyer
, 0	Wolfgang Stromberger
, 3	Wolfgang Stumpf
, 3582245	Wolfgang Stumph
, 0	Wolfgang Stuppy
, 0	Wolfgang Stössel
, 0	Wolfgang Stübner (II)
, 0	Wolfgang Stüßel
, 0	Wolfgang Suchner
, 3	Wolfgang Suschitzky
, 0	Wolfgang Sörgel
, 0	Wolfgang Tattenbach
, 0	Wolfgang Taucher
, 0	Wolfgang Tebbe
, 0	Wolfgang Teichert
, 0	Wolfgang Templin
, 0	Wolfgang Terrey
, 2	Wolfgang Teubert
, 0	Wolfgang Thal
, 0	Wolfgang Thalheim
, 0	Wolfgang Theuer
, 0	Wolfgang Thiel
, 0	Wolfgang Thierse
, 0	Wolfgang Thomas (II)
, 0	Wolfgang Thon
, 0	Wolfgang Thöne
, 0	Wolfgang Tiefensee
, 0	Wolfgang Tillmans
, 0	Wolfgang Tix
, 0	Wolfgang Tobien
, 37901508	Wolfgang Tonninger
, 0	Wolfgang Track
, 0	Wolfgang Trampe (II)
, 0	Wolfgang Traste
, 0	Wolfgang Trautenberg
, 0	Wolfgang Trautmann
, 2	Wolfgang Trautwein
, 0	Wolfgang Treitler
, 0	Wolfgang Trepper
, 0	Wolfgang Treu
, 0	Wolfgang Treuer
, 0	Wolfgang Trojan
, 0	Wolfgang Uhl (I)
, 0	Wolfgang Uhlig
, 0	Wolfgang Ullrich (I)
, 0	Wolfgang Ullrich (II)
, 0	Wolfgang Ullrich (III)
, 0	Wolfgang Ulrich (II)
, 0	Wolfgang Umbescheidt
, 0	Wolfgang Unger
, 0	Wolfgang Unterholzner
, 0	Wolfgang Unterzaucher
, 0	Wolfgang Urbanek
, 0	Wolfgang Urchs
, 0	Wolfgang Vale
, 0	Wolfgang Van Halen
, 0	Wolfgang Vegas
, 0	Wolfgang Vehnor
, 0	Wolfgang Velten
, 0	Wolfgang Vinzenz Wizlsperger
, 0	Wolfgang Vogel (I)
, 0	Wolfgang Vogel (III)
, 0	Wolfgang Vogler
, 0	Wolfgang Voigt (II)
, 0	Wolfgang Voigt (III)
, 0	Wolfgang Voise
, 3000000	Wolfgang Von Huttick
, 5	Wolfgang Von Jurgen
, 0	Wolfgang Völkel
, 1541033	Wolfgang Völz
, 0	Wolfgang W. Mueller
, 0	Wolfgang Wadewitz
, 0	Wolfgang Wagner (I)
, 7	Wolfgang Wagner (II)
, 0	Wolfgang Wagner (V)
, 0	Wolfgang Wagner (VII)
, 5	Wolfgang Wahl
, 0	Wolfgang Wallenta
, 0	Wolfgang Wallroth
, 0	Wolfgang Wambach
, 0	Wolfgang Wanderer (II)
, 0	Wolfgang Warncke
, 0	Wolfgang Wasserbauer
, 0	Wolfgang Weber (I)
, 0	Wolfgang Weber (III)
, 2	Wolfgang Weber (VII)
, 0	Wolfgang Weber (VIII)
, 24850928	Wolfgang Weber (X)
, 0	Wolfgang Weber (XI)
, 0	Wolfgang Weber (XII)
, 23808	Wolfgang Weber (XV)
, 0	Wolfgang Weck
, 0	Wolfgang Wedde
, 0	Wolfgang Weher
, 0	Wolfgang Wehner
, 0	Wolfgang Wehrum (II)
, 0	Wolfgang Weichs
, 0	Wolfgang Weida
, 0	Wolfgang Weileder
, 0	Wolfgang Weinberger
, 0	Wolfgang Weingart
, 0	Wolfgang Weinzierl
, 0	Wolfgang Weise (II)
, 2	Wolfgang Weiser (I)
, 0	Wolfgang Weiser (II)
, 0	Wolfgang Weiss (I)
, 4	Wolfgang Weissenstein
, 0	Wolfgang Welter
, 0	Wolfgang Wendland
, 0	Wolfgang Wendt
, 0	Wolfgang Wengel
, 0	Wolfgang Weniger
, 0	Wolfgang Wermelskirch
, 0	Wolfgang Werner (IV)
, 0	Wolfgang Werthmann
, 104400896	Wolfgang Wesley Hutton
, 0	Wolfgang Wichtler
, 0	Wolfgang Widerhofer
, 0	Wolfgang Widick
, 0	Wolfgang Wiedemann
, 0	Wolfgang Wiehe
, 0	Wolfgang Wieland
, 0	Wolfgang Wiesbauer
, 0	Wolfgang Will
, 0	Wolfgang Willerscheid
, 1227000	Wolfgang Williams
, 4	Wolfgang Wimmer
, 26914498	Wolfgang Windel
, 0	Wolfgang Windgassen
, 0	Wolfgang Winheim
, 0	Wolfgang Winke
, 91153	Wolfgang Winkler (I)
, 0	Wolfgang Winner
, 0	Wolfgang Wirth
, 0	Wolfgang Witt (II)
, 0	Wolfgang Witte
, 0	Wolfgang Witzke
, 0	Wolfgang Wobeto
, 2	Wolfgang Wobring
, 0	Wolfgang Wograndl
, 0	Wolfgang Wolter
, 927107	Wolfgang Woytt
, 0	Wolfgang Wysocki
