	Wolfgang Kindler (I)
, 0	Yu Ji Chin Ye
, 0	Yu Jia
, 0	Yu Jin (I)
, 0	Yu Jing
, 0	Yu Jounger
, 0	Yu Jung Hou
, 0	Yu Jung Huang
, 0	Yu Jung Zhang
, 0	Yu Kai He
, 0	Yu Kamiki
, 0	Yu Kanemoto
, 14411	Yu Kang
, 0	Yu Kasebe
, 0	Yu Katsuma
, 0	Yu Katsumata
, 0	Yu Kawakami (I)
, 0	Yu Kawakami (II)
, 0	Yu Kiba
, 0	Yu Kimura
, 0	Yu Kin Lau
, 0	Yu Kitamura
, 0	Yu Kizaki
, 0	Yu Ko
, 37	Yu Kobayashi (I)
, 0	Yu Kobayashi (II)
, 0	Yu Koseki
, 0	Yu Koshikawa
, 0	Yu Kouno
, 4602512	Yu Lai Cheng
, 0	Yu Lai-Ling
, 0	Yu Lan Hui
, 0	Yu Lan Hung
, 0	Yu Lan Xu
, 7506759	Yu Lang
, 206678	Yu Lei
, 0	Yu Lew
, 0	Yu Li (II)
, 7	Yu Li (III)
, 71907	Yu Liang (I)
, 0	Yu Liang (III)
, 0	Yu Lin (I)
, 0	Yu Lin (III)
, 0	Yu Ling
, 0	Yu Ling Chang
, 0	Yu Ling Liu
, 0	Yu Ling Wang
, 0	Yu Liu (I)
, 0	Yu Liu (II)
, 0	Yu Liu (VI)
, 0	Yu Liu (VII)
, 8081249	Yu Lu (I)
, 0	Yu Lu (III)
, 2	Yu Lu (VIII)
, 2	Yu Lung Hsiao
, 0	Yu Lung Yen
, 0	Yu Maruyama (II)
, 0	Yu Masuda
, 0	Yu Mei-Mei
, 472599	Yu Ming Lun
, 0	Yu Minobe
, 0	Yu Misaki
, 0	Yu Miura
, 0	Yu Miyake
, 0	Yu Miyasaka
, 0	Yu Mizuki
, 48398	Yu Mu-Zi
, 0	Yu Muroga
, 61054	Yu Na
, 18469	Yu Nagasaka
, 0	Yu Nakano (I)
, 0	Yu Nakano (II)
, 0	Yu Nan Jing
, 0	Yu Ning Chu
, 0	Yu Ninomiya
, 0	Yu Ogura
, 0	Yu Omae
, 0	Yu Ou
, 0	Yu Pai (I)
, 0	Yu Pai (II)
, 0	Yu Pan
, 0	Yu Pang Lin
, 0	Yu Peng
, 4806750	Yu Qi Zhang
, 0	Yu Qian
, 4602512	Yu Qun
, 0	Yu Ri Na Yang
, 0	Yu Rong Li
, 0	Yu Saito (I)
, 0	Yu Saitoh
, 0	Yu Sakiyama
, 0	Yu Sakurayama
, 0	Yu Sam
, 0	Yu Sato (III)
, 3	Yu Shangguan
, 0	Yu Shao Qun
, 0	Yu Shao Wen
, 2	Yu Shasha
, 1446	Yu Shi (I)
, 0	Yu Shi (II)
, 0	Yu Shi (III)
, 0	Yu Shih
, 2	Yu Shimaka
, 0	Yu Shimamura (I)
, 0	Yu Shimika
, 0	Yu Song Yan
, 924484	Yu Sugimoto
, 2419374	Yu Sui Lung
, 0	Yu Sun (II)
, 0	Yu Sun (III)
, 0	Yu Tachibana
, 0	Yu Takamura
, 0	Yu Takita
, 34287296	Yu Tanabe
, 0	Yu Tanaka
, 0	Yu Tao
, 0	Yu Te Jima
, 0	Yu Ting (II)
, 0	Yu Ting LI
, 0	Yu Ting Si Tu
, 0	Yu Ting Tracy Wang
, 0	Yu Ting Yuan
, 10025669	Yu Tokui
, 8060487	Yu Tong Guo
, 0	Yu Tsai (III)
, 0	Yu Tsai (IV)
, 0	Yu Tsao
, 0	Yu Tseng
, 0	Yu Tso
, 0	Yu Tu
, 0	Yu Tzu-Yi
, 0	Yu Uehara
, 0	Yu Umezawa
, 30102716	Yu Wai Keung
, 16044700	Yu Wang (I)
, 2	Yu Wang (III)
, 365153	Yu Wang (V)
, 0	Yu Wang (VIII)
, 0	Yu Wang (X)
, 0	Yu Wei Chen
, 0	Yu Weijie
, 0	Yu Weiyan Yang
, 0	Yu Wen 'Eva' Chiu
, 0	Yu Wenzhong
, 0	Yu Wo Fu
, 0	Yu Wu
, 11925359	Yu Xia (I)
, 8060487	Yu Xin Tang
, 0	Yu Xin Wu
, 17172274	Yu Xing
, 0	Yu Xuan
, 0	Yu Yamazaki
, 0	Yu Yang (II)
, 0	Yu Yang (III)
, 8060487	Yu Yang Cheng
, 0	Yu Yang Kun
, 0	Yu Yao
, 0	Yu Yatabe
, 0	Yu Yeon-su
, 0	Yu Yi Huang
, 0	Yu Yin Øgendahl Pang
, 0	Yu You
, 0	Yu Yu (II)
, 0	Yu Yu Chen
, 0	Yu Yuan
, 52040292	Yu Yuan Zeng
, 0	Yu Ze Min
, 0	Yu Zen
, 0	Yu Zhang (I)
, 157279	Yu Zhang (II)
, 626809	Yu Zhang Wang
, 9213	Yu Zhou (IV)
, 0	Yu Zhou (V)
, 0	Yu Zhu
, 0	Yu Zhuang
, 0	Yu-Bin Zhu
, 0	Yu-Chen Hsieh
, 0	Yu-Chen Ko
, 0	Yu-Chen Lin
, 0	Yu-Chen Tsai
, 0	Yu-Cheng Yang
, 0	Yu-Cheung Choi
, 0	Yu-Chi Chang
, 0	Yu-Chi Hsiung
, 0	Yu-Chi Huang (I)
, 0	Yu-Chi Lin (I)
, 0	Yu-Chian Wang (II)
, 0	Yu-Chie Lee
, 2	Yu-Chieh Cheng
, 0	Yu-Chien Liao
, 0	Yu-Chien Tai
, 7294403	Yu-Chien Tang
, 0	Yu-Chu Tieh
, 0	Yu-Chu Wei
, 0	Yu-Chuan Ko
, 0	Yu-Chuan Kuo
, 0	Yu-Chun Cheng
, 0	Yu-Chun Wong
, 0	Yu-En Chen
, 0	Yu-Fan Sung
, 0	Yu-Fei Hsiao
, 0	Yu-Fen Chang
, 0	Yu-Feng Wu
, 0	Yu-Fung Wu
, 0	Yu-Han Lan
, 0	Yu-Han Yan
, 331821	Yu-Hang To
, 0	Yu-He Chen
, 0	Yu-Heng Chiang
, 0	Yu-Hou Chou
, 0	Yu-Hou Chow
, 0	Yu-Hsia Ko
, 0	Yu-Hsiang Wang
, 0	Yu-Hsieh Chen
, 0	Yu-Hsien Wu
, 0	Yu-Hsiu Wang
, 0	Yu-Hsueh Wu
, 0	Yu-Hsun Chen
, 0	Yu-Hua Shang-Kuan
, 0	Yu-Hung Shih
, 0	Yu-Jhe Kui
, 0	Yu-Jie Xiang
, 0	Yu-Jing Chen
, 0	Yu-Jou Liu
, 0	Yu-Kuan Chen
, 0	Yu-Kuo Chiao
, 3	Yu-Lam Fan
, 0	Yu-Li Ham
, 0	Yu-Li Tan
, 0	Yu-Lin Kong
, 0	Yu-Lin Lo
, 0	Yu-Lin Shen
, 0	Yu-Lin Wang
, 0	Yu-Ling Cheng
, 0	Yu-Man Cheng
, 0	Yu-Man Wong
, 0	Yu-Mei Wang (II)
, 128487	Yu-Mi Ko
, 0	Yu-Ming Mao
, 0	Yu-Na Hsu
, 0	Yu-Na Kim
, 0	Yu-Nan Liang
, 0	Yu-Ngor Cheung
, 0	Yu-Pei Su
, 0	Yu-Rim Choi
, 0	Yu-Rou Huang
, 0	Yu-Seon Eom
, 0	Yu-Seung Chan
, 0	Yu-Sha Wu
, 0	Yu-Sheng Li
, 0	Yu-Shin Eom
, 0	Yu-Shu Wu
, 0	Yu-Shu Yu
, 0	Yu-Siang Huang
, 0	Yu-Sing Kong
, 0	Yu-Siyuan Chung
, 2	Yu-Ta Hsu
, 0	Yu-Tai Law
, 0	Yu-Tan Wang
, 0	Yu-Ting Cheng
, 0	Yu-Ting Chiu (II)
, 0	Yu-Tong Zhuo
, 0	Yu-Tung Chang
, 0	Yu-Tze Chang
, 0	Yu-Wah Siu
, 0	Yu-Wei Chang
, 19319	Yu-Wei Lim
, 0	Yu-Wen Chang
, 0	Yu-Wen Chin
, 7294404	Yu-Wen Wang (I)
, 0	Yu-Xuan Lin
, 0	Yu-Ying Huang
, 0	Yu-bao Wang
, 0	Yu-bin Chiu
, 0	Yu-bong Kim
, 0	Yu-chang Mao
, 2	Yu-chen Chang
, 0	Yu-chen Chen
, 0	Yu-chen Cheng
, 0	Yu-chen Fu
, 0	Yu-chen Kao
, 0	Yu-chen Li
, 0	Yu-chen Pai
, 0	Yu-cheng Chou
, 0	Yu-chi Chiang
, 0	Yu-chia Chang
, 0	Yu-chia Tsai
, 0	Yu-chiao Szema
, 0	Yu-chie Lin
, 0	Yu-chieh Lin
, 0	Yu-chieh Wu
, 0	Yu-chih Wu
, 0	Yu-ching Chang
, 0	Yu-ching Chen
, 0	Yu-ching Chou
, 0	Yu-ching Lai
, 19006	Yu-ching Li
, 0	Yu-chu Li
, 0	Yu-chu Pien
, 0	Yu-chu Teng
, 0	Yu-chung Chang
, 0	Yu-da Hsu
, 0	Yu-fen Kao
, 0	Yu-fen Li
, 0	Yu-feng Chao
, 0	Yu-fung Li
, 0	Yu-haeng Kim
, 0	Yu-hai Zhang
, 0	Yu-han Chou
, 0	Yu-hie Kim
, 0	Yu-hsia Hu
, 0	Yu-hsia Liang
, 0	Yu-hsiang Chang
, 0	Yu-hsiang Tang
, 0	Yu-hsiung Tsai
, 0	Yu-hua Sha
, 0	Yu-hui Sun
, 0	Yu-jen Cheng
, 0	Yu-jeong Choi
, 0	Yu-jeong Han
, 2	Yu-jeong Kim (I)
, 0	Yu-jeong Lee
, 0	Yu-jeong Nam
, 2	Yu-jeong Seo
, 0	Yu-ji Narita
, 0	Yu-jie Zhong
, 0	Yu-jin Bae
, 0	Yu-jin Kim (II)
, 0	Yu-jin Lee (I)
, 0	Yu-jin Lim
, 0	Yu-jin So
, 0	Yu-jiu Yang
, 0	Yu-jong Hong
, 0	Yu-juan Shi
, 0	Yu-kang Cheng
, 0	Yu-kang Tsou
, 0	Yu-kang Wu
, 0	Yu-ki
, 0	Yu-ko
, 0	Yu-kong Chan
, 0	Yu-kuang Chou
, 0	Yu-kuei Yang
, 0	Yu-kyeong Choi
, 0	Yu-kyeong Jeong
, 0	Yu-kyeong Ko
, 0	Yu-kyeong Oh
, 0	Yu-kyeong Seong
, 0	Yu-lan Chiang
, 0	Yu-lan Hsu
, 0	Yu-lan Tsao
, 0	Yu-li Lan
, 0	Yu-li Shen
, 0	Yu-liang Ma
, 0	Yu-lim Lee
, 0	Yu-lin Qian
, 0	Yu-lin Yang (I)
, 0	Yu-lin Yang (II)
, 0	Yu-ling Bai
, 0	Yu-ling Lan
, 0	Yu-ling Yang
, 0	Yu-lun Huang (II)
, 0	Yu-lun Li
, 0	Yu-lung Huang
, 0	Yu-lung Liao
, 0	Yu-lung Ma
, 0	Yu-lung Pai
, 0	Yu-lung Tseng
, 0	Yu-mei Chen
, 0	Yu-mei Chi
, 0	Yu-mei Kuan
, 0	Yu-mei Lin
, 3	Yu-mi Cha
, 22146	Yu-mi Jeong (I)
, 4	Yu-mi Jeong (II)
, 0	Yu-mi Kang
, 5	Yu-mi Kim (I)
, 0	Yu-mi Kim (II)
, 0	Yu-mi Lee (II)
, 0	Yu-mi Won
, 0	Yu-ming Pai
, 0	Yu-ming Yeh
, 0	Yu-niang Chai
, 3	Yu-po Liu
, 0	Yu-qin Zhou
, 0	Yu-ra Choi
, 0	Yu-ram Do
, 0	Yu-ren Teng
, 0	Yu-ri Choi
, 0	Yu-ri Jeon
, 0	Yu-ri Jo
, 0	Yu-ri Kim (I)
, 0	Yu-ri Kim (II)
, 0	Yu-ri Lee
, 8160633	Yu-ri Sung
, 0	Yu-rim Hwang
, 0	Yu-rok Yang
, 0	Yu-ru Cheng
, 44537	Yu-ru Lin
, 0	Yu-san Kao
, 0	Yu-sen Ma
, 2	Yu-seok Jeong
, 0	Yu-seok Kim
, 0	Yu-seon Ham
, 0	Yu-seon Ko
, 0	Yu-seon Park
, 0	Yu-seon Yun
, 0	Yu-seong Jeon
, 0	Yu-shan Hsia
, 0	Yu-shan Li
, 0	Yu-sheng Chang
, 0	Yu-sheng Gao
, 0	Yu-sheng Hsu
, 0	Yu-sheng Sung
, 0	Yu-sheng Tsui
, 0	Yu-shu Zhang
, 0	Yu-su Lee
, 0	Yu-suk Kim
, 0	Yu-sung Wu
, 0	Yu-ting Qiu
, 0	Yu-ting Wang
, 0	Yu-ting Zheng
, 0	Yu-tsai Pan
, 0	Yu-tsan Chuang
, 0	Yu-wan Tang
, 0	Yu-wen Chi
, 0	Yu-wo Cheng
, 3139	Yu-won Lee
, 0	Yu-wu Hu
, 0	Yu-xing Liu
, 0	Yu-xiu Zhao
, 0	Yu-yao Chang
, 0	Yu-yen Chang
, 0	Yu-yen Huang (I)
, 2	Yu-yeong Jin
, 0	Yu-ying Tung
, 0	Yu-yung Huang
, 231428	Yu-yung Teng
, 0	Yu-ze Li
, 0	Yu-zhu Ye
, 0	Yu. Akhamaev
, 0	Yu. Akhanov
, 0	Yu. Aldoshkin
, 0	Yu. Alkhimov
, 0	Yu. Andronik
, 0	Yu. Averenkov
, 0	Yu. Avramov
, 0	Yu. Avtandilov
, 0	Yu. Babintsev
, 0	Yu. Bablumyan
, 340312	Yu. Balachin
, 0	Yu. Bantysh
, 0	Yu. Batalov
, 0	Yu. Blinkov
, 0	Yu. Bogdanova
, 0	Yu. Bondarev
, 0	Yu. Bordukov
, 0	Yu. Chernobrovkin
, 0	Yu. Chuprin
, 0	Yu. Chyornyj (I)
, 52200000	Yu. Chyuveleva
, 0	Yu. Daminskaya
, 0	Yu. Darumov
, 0	Yu. Dimakov
, 52200000	Yu. Dioshi
, 2	Yu. Dmitriyev
, 0	Yu. Dragonenko
, 0	Yu. Dukaltetenko
, 0	Yu. Enakian
, 0	Yu. Filin
, 0	Yu. Frid
, 0	Yu. Galkin
, 0	Yu. Gandrabura
, 0	Yu. Gatsky
, 0	Yu. Gertseva
, 0	Yu. Glavadsky
, 0	Yu. Glazunov
, 0	Yu. Glazunov-Martsoli
, 0	Yu. Golubev
, 0	Yu. Golubyov
, 0	Yu. Gonigman
, 0	Yu. Gorbachyov
, 0	Yu. Gorbunov
, 0	Yu. Goremykin
, 0	Yu. Grigorov
, 0	Yu. Gubarev
, 0	Yu. Gurevich
, 0	Yu. Ibragimov
, 0	Yu. Ignatov
, 0	Yu. Ivanov (I)
, 0	Yu. Jijeishvili
, 0	Yu. Kaminsky
, 0	Yu. Kanopka
, 0	Yu. Karakayev
, 0	Yu. Karan
, 0	Yu. Katsuk
, 0	Yu. Kayumov
, 0	Yu. Khlonitskaya
, 85360	Yu. Kirsanov
, 0	Yu. Koblov
, 0	Yu. Kobrin
, 0	Yu. Kochergin
, 0	Yu. Kochetagin
, 0	Yu. Kochneva
, 0	Yu. Kolesnichenko
, 0	Yu. Kolpakov
, 0	Yu. Kolsky
, 0	Yu. Koltynayev
, 0	Yu. Kondrashov
, 0	Yu. Kopich
, 0	Yu. Kopylov
, 0	Yu. Kornyakov
, 0	Yu. Korshun
, 0	Yu. Koshelev
, 0	Yu. Kostenko
, 0	Yu. Koval
, 0	Yu. Kovalenko
, 11875000	Yu. Koveshnikova
, 0	Yu. Kozhemyakin
, 2	Yu. Kozlovsky
, 0	Yu. Kozyrkova
, 0	Yu. Krasik
, 0	Yu. Kreinin
, 0	Yu. Krilivets
, 0	Yu. Kristi
, 0	Yu. Krivich
, 0	Yu. Krupin
, 0	Yu. Krutsenko
, 52200000	Yu. Kryuchkov
, 0	Yu. Kureyev
, 0	Yu. Kuzmenko
, 0	Yu. Kuzmenok
, 2	Yu. Levchenko
, 0	Yu. Lomaya
, 0	Yu. Lukyantsev
, 0	Yu. Lyabikov
, 0	Yu. Lyagushev
, 0	Yu. Mezhetsky
, 0	Yu. Mikheyeva
, 0	Yu. Minin
, 0	Yu. Mironchenko
, 0	Yu. Moiseyev
, 0	Yu. Monakova
, 0	Yu. Motsny
, 0	Yu. Myatishkin
, 0	Yu. Najmatulin
, 0	Yu. Naumtsev
, 0	Yu. Nazarev
, 0	Yu. Nersisyan
, 0	Yu. Nevolin
, 0	Yu. Nikolsky
, 0	Yu. Odinokov
, 0	Yu. Orlovsky
, 0	Yu. Osipenko
, 0	Yu. Ostrovoy
, 52200000	Yu. Ovsyannikov
, 0	Yu. Pashkin
, 0	Yu. Pashovsky
, 0	Yu. Pavlyukova
, 0	Yu. Plyashkova
, 0	Yu. Plyazhkova
, 0	Yu. Polonsky
, 0	Yu. Polosina
, 0	Yu. Pomogayev
, 0	Yu. Poparev
, 0	Yu. Popko
, 0	Yu. Prasolov
, 0	Yu. Predtechenskaya
, 0	Yu. Privalov
, 0	Yu. Prosalovsky
, 0	Yu. Pushmyntev
, 0	Yu. Rashkin
, 0	Yu. Rastashansky
, 0	Yu. Rayevsky
, 78287968	Yu. Rezvan
, 0	Yu. Rigiaras
, 0	Yu. Rodnoy
, 0	Yu. Romanov
, 52200000	Yu. Rossinol
, 0	Yu. Rotki
, 0	Yu. Rustamyan
, 0	Yu. Samsonov
, 0	Yu. Santi
, 0	Yu. Savochkin
, 0	Yu. Sazonova
, 0	Yu. Sevela
, 4	Yu. Shepelev
, 0	Yu. Shestakevska
, 0	Yu. Shibanov
, 0	Yu. Shilov
, 0	Yu. Shirokov
, 0	Yu. Shitkin
, 0	Yu. Shmagala
, 0	Yu. Shulga
, 0	Yu. Shumsky
, 0	Yu. Shutsky
, 0	Yu. Sinin
, 0	Yu. Sobolev
, 0	Yu. Sokolik
, 0	Yu. Soroka
, 0	Yu. Sorokin
, 0	Yu. Sosnovsky
, 0	Yu. Spiridonov
, 0	Yu. Stepanov
, 0	Yu. Sukhanov
, 0	Yu. Svetushenko
, 0	Yu. Svirin
, 0	Yu. Sychyova
, 0	Yu. Taborko
, 0	Yu. Tatarinov
, 0	Yu. Titov
, 0	Yu. Topuzov
, 0	Yu. Tuyu-Tyan
, 0	Yu. Tychinin
, 0	Yu. Ullin
, 0	Yu. Usina
, 0	Yu. Vasilyev (II)
, 0	Yu. Vereshchagin
, 0	Yu. Veryokin
, 52200000	Yu. Vetrov
, 0	Yu. Vinogradov
, 0	Yu. Vnukov
, 0	Yu. Vogyakov
, 0	Yu. Vrublevskiy
, 0	Yu. Vukkert
, 0	Yu. Yenok
, 0	Yu. Yermelyanov
, 0	Yu. Yeryomenko
, 0	Yu. Yurova
, 0	Yu. Zabludovsky
, 0	Yu. Zajka
, 0	Yu. Zajtsev
, 0	Yu. Zakolodkina
, 0	Yu. Zavv
, 0	Yu. Zevin
, 0	Yu. Zharkov
, 0	Yu. Zhuro
, 0	Yu. Zobov
, 0	Yu. Zyryanov
, 0	Yua Aida
, 0	Yua Arakawa
, 0	Yua Ashihara
, 0	Yua Kisaki
, 0	Yua Saitô
, 0	Yua Shinkawa
, 0	Yua Zhi Qiang
, 0	Yuan Bin
, 0	Yuan Cen
, 0	Yuan Chang (I)
, 0	Yuan Chang (II)
, 0	Yuan Chaofeng
, 0	Yuan Chen (II)
, 2	Yuan Chen (V)
, 3	Yuan Chieh
, 2	Yuan Chuan
, 0	Yuan Du
, 0	Yuan Fan
, 0	Yuan Fang (II)
, 0	Yuan Fei
, 0	Yuan Gao (I)
, 2	Yuan Gao (II)
, 0	Yuan Gao (III)
, 0	Yuan Gao (IV)
, 0	Yuan Gao (V)
, 0	Yuan He Ping
, 0	Yuan Hsu
, 0	Yuan Hu (I)
, 0	Yuan Huang (II)
, 0	Yuan Huang (III)
, 0	Yuan Ji
, 0	Yuan Jia Pan
, 108939	Yuan Jin
, 0	Yuan Juan
, 0	Yuan Jun Hao
, 0	Yuan Jun Hu
, 0	Yuan Kangxin
, 0	Yuan Lan Chu
, 0	Yuan Li (I)
, 2	Yuan Li (II)
, 3	Yuan Lin (I)
, 3	Yuan Lin (II)
, 0	Yuan Ling (I)
, 0	Yuan Ling (II)
, 0	Yuan Liu (III)
, 0	Yuan Ma
, 0	Yuan Meister Limin
, 0	Yuan Meng (I)
, 0	Yuan Nankung
, 9217	Yuan Nie
, 0	Yuan Nielsen
, 0	Yuan Ning
, 15405	Yuan On
, 2	Yuan Ping
, 0	Yuan Ray
, 3	Yuan Richards
, 0	Yuan Shen
, 0	Yuan Sheng
, 0	Yuan Shi
, 0	Yuan Shi Long
, 0	Yuan Shuai
, 0	Yuan Sin-Ying
, 0	Yuan Sung
, 0	Yuan Tian (I)
, 0	Yuan Tien
, 0	Yuan Tung
, 0	Yuan Uyue Hao
, 0	Yuan Weijie
, 0	Yuan Wu
, 0	Yuan Xian
, 488872	Yuan Xiao Long
, 0	Yuan Xiaochao (I)
, 212095	Yuan Xiaochao (II)
, 3	Yuan Xie
, 0	Yuan Yang
, 0	Yuan Yuan (I)
, 0	Yuan Yuan (V)
, 0	Yuan Yuan Liu
, 0	Yuan Yuan Tan
, 0	Yuan Yuan Yin
, 0	Yuan Zhang (I)
, 0	Yuan Zhang (II)
, 0	Yuan Zhang (III)
, 0	Yuan Zhang (VIII)
, 40037108	Yuan Zhang Zhang
, 0	Yuan Zhenxin
, 0	Yuan Zhongyi
, 0	Yuan-Bao Jing
, 0	Yuan-Chang Lin
, 0	Yuan-Chi Sun
, 0	Yuan-Chiang Chang
, 0	Yuan-Han Tang
, 32861136	Yuan-Ho C. Koo
, 0	Yuan-Jie Lin
, 0	Yuan-Kai Li
, 0	Yuan-Kuei Chou
, 17324752	Yuan-Kwan Chan
, 0	Yuan-Liang An
, 0	Yuan-Liang Ma
, 0	Yuan-Lieh Ko
, 0	Yuan-Qi Lu
, 0	Yuan-San Hou
, 0	Yuan-Shen Huang
, 0	Yuan-Sheng Liu
, 0	Yuan-Shun Jheng
, 0	Yuan-Tseng Hsia
, 0	Yuan-Yi Yu
, 0	Yuan-chang Zhang
, 0	Yuan-chi Hsu
, 0	Yuan-chi Lu
, 0	Yuan-ching Chou
, 0	Yuan-ching Yung
, 0	Yuan-chun Wu
, 19006	Yuan-ding Wu
, 0	Yuan-erh Shang-Kuan
, 0	Yuan-fa Tsao (I)
, 3826459	Yuan-fa Tsao (III)
, 0	Yuan-fen Wu
, 0	Yuan-han Chiu
, 0	Yuan-jiao Lin
, 2	Yuan-kei Chan
, 0	Yuan-peng Zhang
, 0	Yuan-sun Zhang
, 2	Yuan-ta Tsao
, 0	Yuan-ting Chang
, 0	Yuan-tsu Yao
, 0	Yuan-yuan Chang
, 0	Yuan-yuan Hui
, 0	Yuan-yuan Liu
, 0	Yuan-yuan Ting
, 0	Yuan-yung Chuang
, 0	Yuanba Li
, 0	Yuanbin Shi
, 0	Yuanbing Gao
, 0	Yuanchang Li
, 64925	Yuanchen Zhang
, 0	Yuancheng Zheng
, 0	Yuandale Evans
, 0	Yuanfang Li
, 0	Yuanfei Jin
, 0	Yuangee Wong
, 0	Yuanguang Liu
, 0	Yuanita Christiani
, 0	Yuanji Mo
, 0	Yuanjia Pan
, 0	Yuanjin Bi
, 0	Yuanke Wang
, 0	Yuankhong Yu
, 0	Yuanlong Wang
, 0	Yuanmeng Zhu
, 0	Yuanqi Xu
, 0	Yuanrong Jin
, 0	Yuanshang Lin
, 0	Yuanting Shi
, 0	Yuanwei Xiong
, 0	Yuanxia Zhang
, 0	Yuanxun Sun
, 0	Yuanyang Lan
, 0	Yuanyuan Cai
, 2	Yuanyuan Cheng
, 20711384	Yuanyuan Gao
, 0	Yuanyuan Huang
, 0	Yuanyuan Jia
, 0	Yuanyuan Kui
, 0	Yuanyuan Li
, 0	Yuanyuan Liu
, 0	Yuanyuan Ni (I)
, 0	Yuanyuan Ning
, 0	Yuanyuan Peng
, 0	Yuanyuan Qiu
, 0	Yuanyuan Wang
, 0	Yuanyuan Zhao
, 0	Yuanyuan Zhu
, 0	Yuanzhen Xie
, 16054	Yuanzheng Feng
, 0	Yuanzhi Tang
, 0	Yuba Paudel
, 0	Yuba Shepherd
, 0	Yubai Zhang
, 0	Yubal
, 0	Yubani Hernandez
, 0	Yuber Fuentes
, 0	Yubin
, 0	Yubin Liu
, 0	Yubin Sung
, 0	Yubo Shang
, 22205648	Yubo Wang
, 0	Yubrán Luna
, 0	Yucai Sun
, 0	Yucca Salamonic
, 0	Yucca Salamunich
, 0	Yucef Merhi
, 0	Yucel Dagdeviren
, 0	Yucel Gokcek
, 0	Yucel Mehmet
, 0	Yucel Salvarli
, 0	Yucel Turgut
, 0	Yucel Yuksel
, 0	Yucemar Morales
, 0	Yuchang Wang
, 15634090	Yuchen Du
, 0	Yuchen Lin (I)
, 0	Yuchen Lin (II)
, 0	Yuchen Mo
, 0	Yuchen Ren
, 0	Yuchen Yang
, 2	Yuchen Zhu
, 0	Yucheng Chen
, 0	Yucheng Sun
, 0	Yucheng Zhang
, 0	Yuchida Yasuhiko
, 127711	Yuchun Li
, 0	Yuchun Park
, 0	Yuchun Yun
, 0	Yuchun Zou
, 0	Yucilenny Hernandez
, 21898	Yucini Diaz
, 0	Yuco
, 0	Yuco Lindberg
, 0	Yucon Havit
, 0	Yucuf Bicici
, 0	Yuda
, 0	Yuda Braun
, 0	Yudai
, 0	Yudai Ishida (I)
, 0	Yudai Nagai
, 0	Yudai Stout
, 0	Yudai Tatsumi
, 0	Yudai Yamaguchi
, 0	Yudan Yu
, 7075	Yuddvir Bakolia
, 0	Yude Chen
, 0	Yudel Jhonson
, 0	Yudelkis La Fuente Acea
, 0	Yudha Putra
, 0	Yudhi As
, 427629	Yudhishtir Urs
, 0	Yudho Aditya
, 7075	Yudhveer Bakoliya
, 0	Yudhveer Singh
, 0	Yudi (I)
, 0	Yudi Kravzov
, 0	Yudi Lifa
, 0	Yudi Miftahudin
, 2	Yudi Tamashiro
, 0	Yudia Masatake
, 26259714	Yudie Bank
, 3	Yudif Glizer
, 0	Yudii Mercredi
, 0	Yudik Obritchuk
, 0	Yudisley Martinez
, 0	Yudit Chaikin
, 0	Yudit Ecsedy
, 0	Yudith Marrero
, 0	Yudith Vargas
, 0	Yudo Yoshikawa
, 0	Yudong Zhang
, 0	Yudum Yontan
, 0	Yue
, 0	Yue 'Yo' Pun Szeto
, 35939	Yue Cai
, 0	Yue Che
, 0	Yue Chen (II)
, 0	Yue Ching
, 0	Yue Cui
, 5	Yue Ding (I)
, 0	Yue Dung Cheung
, 8060487	Yue Fei
, 0	Yue Feng
, 4	Yue Fong
, 0	Yue Gu (I)
, 2	Yue Guan
, 57872	Yue Guizhi
, 0	Yue Han
, 4806750	Yue Hu (II)
, 0	Yue Hua Shen
, 0	Yue Huang
, 0	Yue Hung Wan
, 2	Yue Kong Pao
, 0	Yue Li (III)
, 0	Yue Li (IV)
, 0	Yue Liang
, 0	Yue Ling
, 365153	Yue Lü
, 48399	Yue Ma (I)
, 0	Yue Mei Qin
, 0	Yue Ming Liu
, 2	Yue Pang
, 0	Yue Qi (III)
, 5918742	Yue Qi Li
, 8060487	Yue Qi Liu
, 0	Yue Qin
, 35938	Yue Qing Xia
, 0	Yue Qiu
, 0	Yue Qu
, 0	Yue Shen
, 0	Yue Sui Ting
, 0	Yue Sun (I)
, 0	Yue Tang Tommy Wang
, 0	Yue Ting
, 0	Yue To
, 0	Yue Tse
, 0	Yue Tu
, 0	Yue Tung Cheung
, 0	Yue Wang (I)
, 0	Yue Wang (IV)
, 0	Yue Wang (VI)
, 10478	Yue Wang (VII)
, 0	Yue Wen Wong
, 4	Yue Wong (I)
, 5	Yue Wu (I)
, 2	Yue Wu (II)
, 0	Yue Xi
, 6	Yue Xu
, 0	Yue Xun Tsai
, 3	Yue Yang (I)
, 0	Yue Yang (III)
, 0	Yue Yang Shang
, 0	Yue Yao
, 0	Yue Yu (I)
, 0	Yue Yu (II)
, 0	Yue Yu (IV)
, 0	Yue Yu (V)
, 0	Yue Yuan
, 0	Yue Yue
, 0	Yue Yun Lin
, 0	Yue Zhang (I)
, 0	Yue Zhang (II)
, 0	Yue Zhang (IV)
, 0	Yue Zhang (V)
, 0	Yue Zhang (VI)
, 0	Yue Zhao
, 0	Yue Zhou
, 0	Yue Zhuang
, 0	Yue Ôtera
, 0	Yue-Fung Lin
